model_id,algorithm_id,mean_test_accuracy,mean_test_precision_weighted,mean_test_recall_weighted,mean_test_roc_auc_ovo_weighted,geometric_mean_score_weighted,matthews_corrcoef,f1_weighted,log_loss
1705,5,0.818196721,0.821257263,0.818196721,0.900128267,0.84826233,0.709304772,0.853475404,0.012508328
1706,5,0.828306011,0.831588174,0.828306011,0.900745551,0.844636489,0.702951048,0.850037968,0
1707,5,0.719453552,0.721453564,0.719453552,0.783164983,0.719402831,0.445067174,0.724156074,0.804508763
1708,5,0.716174863,0.71928367,0.716174863,0.761207311,0.719402831,0.445067174,0.724156074,0.908064259
1709,5,0.834754098,0.838673268,0.834754098,0.904545455,0.851290618,0.716521013,0.856702947,0.034248541
1710,5,0.831530055,0.835073911,0.831530055,0.900801668,0.841010502,0.696612137,0.846592115,0.003254819
1711,5,0.709617486,0.710635077,0.709617486,0.746071829,0.712748559,0.431572192,0.717509232,0.968468294
1712,5,0.703005465,0.703930472,0.703005465,0.739738656,0.70246774,0.411267508,0.707349801,0.999993293
1713,5,0.838032787,0.843581173,0.838032787,0.904497355,0.84826233,0.709304772,0.853475404,0.032109798
1714,5,0.828306011,0.831588174,0.828306011,0.900745551,0.844636489,0.702951048,0.850037968,0
1715,5,0.709617486,0.710635077,0.709617486,0.746071829,0.712748559,0.431572192,0.717509232,0.968454999
1716,5,0.703005465,0.703930472,0.703005465,0.739738656,0.70246774,0.411267508,0.707349801,0.999989228
1717,5,0.821639344,0.825274442,0.821639344,0.90299022,0.847664675,0.710202599,0.853262023,0.016829228
1718,5,0.831530055,0.835073911,0.831530055,0.900801668,0.841010502,0.696612137,0.846592115,0.003254819
1719,5,0.716174863,0.71928367,0.716174863,0.760774411,0.71577642,0.438292894,0.720652083,0.908718966
1720,5,0.709617486,0.710635077,0.709617486,0.74650473,0.712748559,0.431572192,0.717509232,0.967754495
1721,5,0.8215847,0.825034776,0.8215847,0.904505371,0.844636489,0.702951048,0.850037968,0.014407733
1722,5,0.828306011,0.831588174,0.828306011,0.900745551,0.844636489,0.702951048,0.850037968,0
1723,5,0.716174863,0.71928367,0.716174863,0.760774411,0.71577642,0.438292894,0.720652083,0.908669874
1724,5,0.709617486,0.710635077,0.709617486,0.74650473,0.712748559,0.431572192,0.717509232,0.967740367
1725,5,0.831420765,0.836421042,0.831420765,0.902757736,0.847664675,0.710202599,0.853262023,0.015651953
1726,5,0.831530055,0.835073911,0.831530055,0.900801668,0.841010502,0.696612137,0.846592115,0.003254819
1727,5,0.716174863,0.71928367,0.716174863,0.77350489,0.71637485,0.438366901,0.721006692,0.854301828
1728,5,0.712896175,0.71398066,0.712896175,0.754200738,0.71637485,0.438366901,0.721006692,0.937227739
1729,5,0.8215847,0.825182177,0.8215847,0.899871733,0.844636489,0.702951048,0.850037968,0.013005551
1730,5,0.828306011,0.831588174,0.828306011,0.900745551,0.844636489,0.702951048,0.850037968,0
1731,5,0.716174863,0.71928367,0.716174863,0.77350489,0.71637485,0.438366901,0.721006692,0.854199456
1732,5,0.712896175,0.71398066,0.712896175,0.754200738,0.71637485,0.438366901,0.721006692,0.937197884
1733,5,0.821530055,0.823993544,0.821530055,0.900809684,0.847664675,0.710202599,0.853262023,0.015970749
1734,5,0.831530055,0.835073911,0.831530055,0.900801668,0.841010502,0.696612137,0.846592115,0.003254819
1735,5,0.719453552,0.721453564,0.719453552,0.783164983,0.719402831,0.445067174,0.724156074,0.804677551
1736,5,0.716174863,0.71928367,0.716174863,0.761207311,0.719402831,0.445067174,0.724156074,0.908114791
1737,5,0.818196721,0.821257263,0.818196721,0.900128267,0.84826233,0.709304772,0.853475404,0.012508328
1738,5,0.828306011,0.831588174,0.828306011,0.900745551,0.844636489,0.702951048,0.850037968,0
1739,5,0.719453552,0.721453564,0.719453552,0.783164983,0.719402831,0.445067174,0.724156074,0.804508763
1740,5,0.716174863,0.71928367,0.716174863,0.761207311,0.719402831,0.445067174,0.724156074,0.908064259
1741,5,0.844644809,0.849824632,0.844644809,0.905844156,0.84826233,0.709304772,0.853475404,0.033708883
1742,5,0.831530055,0.835073911,0.831530055,0.900801668,0.841010502,0.696612137,0.846592115,0.002964524
1743,5,0.709617486,0.710635077,0.709617486,0.746071829,0.712748559,0.431572192,0.717509232,0.968467582
1744,5,0.703005465,0.703930472,0.703005465,0.739738656,0.70246774,0.411267508,0.707349801,0.999993075
1745,5,0.838032787,0.843581173,0.838032787,0.904497355,0.84826233,0.709304772,0.853475404,0.032109798
1746,5,0.828306011,0.831588174,0.828306011,0.900745551,0.844636489,0.702951048,0.850037968,0
1747,5,0.709617486,0.710635077,0.709617486,0.746071829,0.712748559,0.431572192,0.717509232,0.968454999
1748,5,0.703005465,0.703930472,0.703005465,0.739738656,0.70246774,0.411267508,0.707349801,0.999989228
1749,5,0.828142077,0.83266994,0.828142077,0.902982203,0.847664675,0.710202599,0.853262023,0.016874201
1750,5,0.831530055,0.835073911,0.831530055,0.900801668,0.841010502,0.696612137,0.846592115,0.002964524
1751,5,0.716174863,0.71928367,0.716174863,0.760774411,0.71577642,0.438292894,0.720652083,0.908716337
1752,5,0.709617486,0.710635077,0.709617486,0.74650473,0.712748559,0.431572192,0.717509232,0.967753738
1753,5,0.8215847,0.825034776,0.8215847,0.904505371,0.844636489,0.702951048,0.850037968,0.014407733
1754,5,0.828306011,0.831588174,0.828306011,0.900745551,0.844636489,0.702951048,0.850037968,0
1755,5,0.716174863,0.71928367,0.716174863,0.760774411,0.71577642,0.438292894,0.720652083,0.908669874
1756,5,0.709617486,0.710635077,0.709617486,0.74650473,0.712748559,0.431572192,0.717509232,0.967740367
1757,5,0.828142077,0.83266994,0.828142077,0.900801668,0.847664675,0.710202599,0.853262023,0.015684804
1758,5,0.831530055,0.835073911,0.831530055,0.900801668,0.841010502,0.696612137,0.846592115,0.002964524
1759,5,0.716174863,0.71928367,0.716174863,0.77350489,0.71637485,0.438366901,0.721006692,0.854296346
1760,5,0.712896175,0.71398066,0.712896175,0.754200738,0.71637485,0.438366901,0.721006692,0.93722614
1761,5,0.8215847,0.825182177,0.8215847,0.899871733,0.844636489,0.702951048,0.850037968,0.013005551
1762,5,0.828306011,0.831588174,0.828306011,0.900745551,0.844636489,0.702951048,0.850037968,0
1763,5,0.716174863,0.71928367,0.716174863,0.77350489,0.71637485,0.438366901,0.721006692,0.854199456
1764,5,0.712896175,0.71398066,0.712896175,0.754200738,0.71637485,0.438366901,0.721006692,0.937197884
1765,5,0.828142077,0.832125598,0.828142077,0.901258618,0.847664675,0.710202599,0.853262023,0.01441463
1766,5,0.831530055,0.835073911,0.831530055,0.900801668,0.841010502,0.696612137,0.846592115,0.002964524
1767,5,0.719453552,0.721453564,0.719453552,0.783164983,0.719402831,0.445067174,0.724156074,0.804668513
1768,5,0.716174863,0.71928367,0.716174863,0.761207311,0.719402831,0.445067174,0.724156074,0.908112085
1769,5,0.818196721,0.821257263,0.818196721,0.900128267,0.84826233,0.709304772,0.853475404,0.012508328
1770,5,0.828306011,0.831588174,0.828306011,0.900745551,0.844636489,0.702951048,0.850037968,0
1771,5,0.719453552,0.721453564,0.719453552,0.783164983,0.719402831,0.445067174,0.724156074,0.804508763
1772,5,0.716174863,0.71928367,0.716174863,0.761207311,0.719402831,0.445067174,0.724156074,0.908064259
1773,5,0.84136612,0.846362224,0.84136612,0.90650954,0.847664675,0.710202599,0.853262023,0.032321339
1774,5,0.831530055,0.835073911,0.831530055,0.900801668,0.841010502,0.696612137,0.846592115,0.002711646
1775,5,0.709617486,0.710635077,0.709617486,0.746071829,0.712748559,0.431572192,0.717509232,0.968466942
1776,5,0.703005465,0.703930472,0.703005465,0.739738656,0.70246774,0.411267508,0.707349801,0.99999288
1777,5,0.838032787,0.843581173,0.838032787,0.904497355,0.84826233,0.709304772,0.853475404,0.032109798
1778,5,0.828306011,0.831588174,0.828306011,0.900745551,0.844636489,0.702951048,0.850037968,0
1779,5,0.709617486,0.710635077,0.709617486,0.746071829,0.712748559,0.431572192,0.717509232,0.968454999
1780,5,0.703005465,0.703930472,0.703005465,0.739738656,0.70246774,0.411267508,0.707349801,0.999989228
1781,5,0.815027322,0.818487998,0.815027322,0.901667468,0.847664675,0.710202599,0.853262023,0.016559358
1782,5,0.831530055,0.835073911,0.831530055,0.900801668,0.841010502,0.696612137,0.846592115,0.002711646
1783,5,0.716174863,0.71928367,0.716174863,0.760774411,0.71577642,0.438292894,0.720652083,0.908713975
1784,5,0.709617486,0.710635077,0.709617486,0.74650473,0.712748559,0.431572192,0.717509232,0.967753058
1785,5,0.8215847,0.825034776,0.8215847,0.904505371,0.844636489,0.702951048,0.850037968,0.014407733
1786,5,0.828306011,0.831588174,0.828306011,0.900745551,0.844636489,0.702951048,0.850037968,0
1787,5,0.716174863,0.71928367,0.716174863,0.760774411,0.71577642,0.438292894,0.720652083,0.908669874
1788,5,0.709617486,0.710635077,0.709617486,0.74650473,0.712748559,0.431572192,0.717509232,0.967740367
