model_id,algorithm_id,mean_test_accuracy,mean_test_precision_weighted,mean_test_recall_weighted,mean_test_roc_auc_ovo_weighted,geometric_mean_score_weighted,matthews_corrcoef,f1_weighted,log_loss
2433,7,0.694066718,0.749809292,0.694066718,0.811091894,0.731602419,0.443265726,0.709800761,0.596945913
2434,7,0.694066718,0.749809292,0.694066718,0.811091894,0.731602419,0.443265726,0.709800761,0.596945913
2435,7,0.694066718,0.749809292,0.694066718,0.811091894,0.731602419,0.443265726,0.709800761,0.596945913
2436,7,0.694066718,0.749809292,0.694066718,0.811091894,0.731602419,0.443265726,0.709800761,0.596945913
2437,7,0.697954333,0.754544903,0.697954333,0.812003844,0.731420668,0.443203708,0.708455231,0.76239053
2438,7,0.697954333,0.754544903,0.697954333,0.812003844,0.731420668,0.443203708,0.708455231,0.76239053
2439,7,0.697954333,0.754544903,0.697954333,0.812003844,0.731420668,0.443203708,0.708455231,0.76239053
2440,7,0.697954333,0.754544903,0.697954333,0.812003844,0.731420668,0.443203708,0.708455231,0.76239053
2441,7,0.697954333,0.754544903,0.697954333,0.812003844,0.731420668,0.443203708,0.708455231,0.76239053
2442,7,0.697945845,0.753214333,0.697945845,0.810660377,0.732433923,0.445045552,0.709753472,1
2443,7,0.697945845,0.753214333,0.697945845,0.810660377,0.732433923,0.445045552,0.709753472,1
2444,7,0.697945845,0.753214333,0.697945845,0.810660377,0.732433923,0.445045552,0.709753472,1
2445,7,0.697945845,0.753214333,0.697945845,0.810660377,0.732433923,0.445045552,0.709753472,1
2446,7,0.697945845,0.753214333,0.697945845,0.810660377,0.732433923,0.445045552,0.709753472,1
2447,8,0.747474748,0.743953692,0.747474748,0.822844514,1,1,1,0.961151882
2448,8,0.751387828,0.747689669,0.751387828,0.823086303,1,1,1,1
2449,8,0.75137934,0.747900138,0.75137934,0.823707198,1,1,1,0.895951659
2450,8,0.752695017,0.749053792,0.752695017,0.824302236,1,1,1,0.949622005
2451,8,0.75529242,0.752152526,0.75529242,0.824081062,1,1,1,0.92161367
2452,8,0.751387828,0.747848237,0.751387828,0.824523061,1,1,1,0.844221506
2453,8,0.755300908,0.752146245,0.755300908,0.825396576,1,1,1,0.769668277
2454,8,0.75659961,0.753803802,0.75659961,0.824903564,1,1,1,0.765308767
2455,8,0.752686529,0.749440349,0.752686529,0.824758211,1,1,1,0.873911171
2456,8,0.756591121,0.753418031,0.756591121,0.824906709,1,1,1,0.936782637
2457,8,0.756582633,0.754122761,0.756582633,0.825596436,1,1,1,0.861497292
2458,8,0.757881334,0.754573179,0.757881334,0.825375262,1,1,1,0.810827608
2459,8,0.759180036,0.756048736,0.759180036,0.824968554,1,1,1,0.747249101
2460,8,0.759188524,0.755954421,0.759188524,0.824850454,1,1,1,0.757361526
2461,8,0.760487225,0.757846305,0.760487225,0.82412334,1,1,1,0.822321602
2462,8,0.757889823,0.754129136,0.757889823,0.823737247,1,1,1,0.799817816
2463,8,0.75137934,0.747366579,0.75137934,0.824052411,1,1,1,0.825472316
